,lyric,clean_lyric
1351,Look what you made me do,
1352,Look what you just made me do,
1353,Look what you just made me—,
1354,"Ooh, look what you made me do",
1355,Look what you made me do,
1356,Look what you just made me do,
1357,Look what you just made me do,
1358,"Ooh, look what you made me do",
1359,Look what you made me do,
1360,Look what you just made me do,
1361,Look what you just made me—,
1362,"Ooh, look what you made me do",
1363,Look what you made me do,
1364,Look what you just made me do,
1365,Look what you just made me do,
1366,"I'm perfectly fine, I live on my own",perfectly fine live
1367,"I made up my mind, I'm better off bein' alone",mind
1368,We met a few weeks ago,weeks ago
1369,"Now you try on callin' me ""Baby"" like tryin' on clothes",callin baby clothes
1370,"Salute to me, I'm your American queen",salute american queen
1371,And you move to me like I'm a Motown beat,move motown beat
1372,And we rule the kingdom inside my room,rule kingdom inside room
1373,'Cause all the boys and their expensive cars,boys expensive cars
1374,With their Range Rovers and their Jaguars,range rovers jaguars
1375,Never took me quite where you do,
1376,"And all at once, you are the one I have been waiting for",waiting
1377,"King of my heart, body, and soul, ooh whoa",heart soul
1378,"And all at once, you're all I want, I'll never let you go",
1379,"King of my heart, body, and soul, ooh whoa",heart soul
1380,"And all at once, I've been waiting, waiting",waiting waiting
1381,"Ooh whoa, ooh whoa",
1382,"And all at once, you are the one, I have been waiting, waiting",waiting waiting
1383,"Body and soul, ooh whoa",soul
1384,And all at once,
1385,"Late in the night, the city's asleep",night citys asleep
1386,"Your love is a secret I'm hoping, dreaming, dying to keep",love secret hoping dreaming dying
1387,Change my priorities,priorities
1388,The taste of your lips is my idea of luxury,taste lips idea luxury
1389,"Salute to me, I'm your American queen",salute american queen
1390,And you move to me like I'm a Motown beat,move motown beat
1391,And we rule the kingdom inside my room,rule kingdom inside room
1392,"(Inside my room, oh)",inside room
1393,'Cause all the boys and their expensive cars,boys expensive cars
1394,With their Range Rovers and their Jaguars,range rovers jaguars
1395,Never took me quite where you do (Where you do),
1396,"And all at once, you are the one I have been waiting for",waiting
1397,"King of my heart, body, and soul, ooh whoa",heart soul
1398,"And all at once, you're all I want, I'll never let you go",
1399,"King of my heart (My heart), body, and soul, ooh whoa",heart heart soul
1400,"And all at once (Hey), I've been waiting, waiting (Waiting)",waiting waiting waiting
1401,"Ooh, whoa, ooh whoa",
1402,"And all at once, you are the one",
1403,"I have been waiting (Waiting), waiting (Waiting)",waiting waiting waiting waiting
1404,"Body and soul, ooh whoa",soul
1405,And all at once,
1406,Is this the end of all the endings?,endings
1407,My broken bones are mending,broken bones mending
1408,With all these nights we're spending,nights spending
1409,Up on the roof with a school girl crush,roof school girl crush
1410,Drinking beer out of plastic cups,drinking beer plastic cups
1411,"Say you fancy me, not fancy stuff",fancy fancy stuff
1412,"Baby, all at once, this is enough",baby
1413,"And all at once, you are the one I have been waiting for",waiting
1414,"King of my heart, body, and soul, ooh whoa",heart soul
1415,"And all at once, you are the one I have been waiting for",waiting
1416,"King of my heart, body, and soul, ooh whoa",heart soul
1417,"And all at once, you're all I want, I'll never let you go",
1418,"King of my heart (My heart), body, and soul (My soul), ooh whoa",heart heart soul soul
1419,"And all at once, I've been waiting, waiting",waiting waiting
1420,"Ooh whoa, ooh whoa",
1421,And all at once,
1422,"'Cause you're the one I have been waiting, waiting",waiting waiting
1423,"Body and soul, ooh whoa",soul
1424,And all at once,
1425,"I, I loved you in secret",loved secret
1426,"First sight, yeah, we love without reason",sight love
1427,"Oh, twenty-five years old",twentyfive years
1428,"Oh, how were you to know? And",
1429,"My, my love had been frozen",love frozen
1430,"Deep blue, but you painted me golden",deep blue painted golden
1431,"Oh, and you held me close",held close
1432,"Oh, how was I to know? I–",
1433,Could've spent forever with your hands in my pockets,couldve spent forever hands pockets
1434,Picture of your face in an invisible locket,picture face invisible locket
1435,You said there was nothing in the world that could stop it,
1436,I had a bad feeling,bad feeling
1437,"And darling, you had turned my bed into a sacred oasis",darling turned sacred oasis
1438,"People started talking, putting us through our paces",people started talking putting paces
1439,I knew there was no one in the world who could take it,knew
1440,I had a bad feeling,bad feeling
1441,But we were dancing,dancing
1442,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1443,"Yeah, we were dancing",dancing
1444,"Like it was the first time, first time",
1445,"Yeah, we were dancing",dancing
1446,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1447,"Yeah, we were dancing",dancing
1448,And I had a bad feeling,bad feeling
1449,But we were dancing,dancing
1450,"I, I loved you in spite of",loved
1451,Deep fears that the world would divide us,deep fears divide
1452,"So, baby, can we dance?",baby
1453,"Oh, through an avalanche? And",avalanche
1454,"Say, say that we got it",
1455,"I'm a mess, but I'm the mess that you wanted",mess mess wanted
1456,"Oh, 'cause it's gravity",gravity
1457,"Oh, keeping you with me, I–",keeping
1458,Could've spent forever with your hands in my pockets,couldve spent forever hands pockets
1459,Picture of your face in an invisible locket,picture face invisible locket
1460,You said there was nothing in the world that could stop it,
1461,I had a bad feeling,bad feeling
1462,But we were dancing,dancing
1463,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1464,"Yeah, we were dancing",dancing
1465,"Like it was the first time, first time",
1466,"Yeah, we were dancing",dancing
1467,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1468,"Yeah, we were dancing",dancing
1469,(Knew we had our hands tied),knew hands tied
1470,And I had a bad feeling,bad feeling
1471,But we were dancing,dancing
1472,I'd kiss you as the lights went out,kiss lights
1473,Swaying as the room burned down,swaying room burned
1474,I'd hold you as the water rushes in,hold water rushes
1475,If I could dance with you again,
1476,I'd kiss you as the lights went out,kiss lights
1477,Swaying as the room burned down,swaying room burned
1478,I'd hold you as the water rushes in,hold water rushes
1479,If I could dance with you again (Again),
1480,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1481,"Oh, yeah, we were dancing",dancing
1482,"Like it was the first time, first time (First time, first time)",
1483,"Yeah, we were dancing (Oh)",dancing
1484,"Dancing with our hands tied, hands tied",dancing hands tied hands tied
1485,(Dancing with our hands tied),dancing hands tied
1486,"Yeah, we were dancing (Ooh)",dancing
1487,And I had a bad feeling (Had a bad feeling),bad feeling bad feeling
1488,But we were dancing,dancing
1489,"(Ooh-ooh, ooh-ooh)",
1490,"Hands tied, hands tied (Dancing)",hands tied hands tied dancing
1491,"State the obvious, I didn't get my perfect fantasy",state perfect fantasy
1492,I realize you love yourself more than you could ever love me,realize love love
1493,So go and tell your friends that I'm obsessive and crazy,friends obsessive crazy
1494,That's fine I'll tell mine that you're gay!,fine mine gay
1495,By the way...,
1496,I hate that stupid old pickup truck,stupid pickup truck
1497,You never let me drive,drive
1498,You're a redneck heartbreak,redneck heartbreak
1499,Who's really bad at lying,bad lying
1500,So watch me strike a match,watch strike match
1501,On all my wasted time,wasted
1502,As far as I'm concerned,concerned
1503,You're just another picture to burn!,picture burn
1504,There's no time for tears,tears
1505,I'm just sitting here planning my revenge,sitting planning revenge
1506,There's nothing stopping me,stopping
1507,From going out with all of your best friends,friends
1508,And if you come around saying sorry to me,
1509,My daddy's gonna show you how sorry you'll be,daddys
1510,'Cause I hate that stupid old pickup truck,stupid pickup truck
1511,You never let me drive,drive
1512,You're a redneck heartbreak,redneck heartbreak
1513,Who's really bad at lying,bad lying
1514,So watch me strike a match,watch strike match
1515,On all my wasted time,wasted
1516,As far as I'm concerned,concerned
1517,You're just another picture to burn!,picture burn
1518,And if you're missing me,missing
1519,You'd better keep it to yourself,
1520,'Cause coming back around here,
1521,Would be bad for your health...,bad health
1522,'Cause I hate that stupid old pickup truck,stupid pickup truck
1523,You never let me drive,drive
1524,You're a redneck heartbreak,redneck heartbreak
1525,Who's really bad at lying,bad lying
1526,So watch me strike a match,watch strike match
1527,On all my wasted time,wasted
1528,In case you haven't heard,case heard
1529,I really really hate that...,
1530,Stupid old pickup truck,stupid pickup truck
1531,You never let me drive,drive
1532,You're a redneck heartbreak,redneck heartbreak
1533,Who's really bad at lying,bad lying
1534,So watch me strike a match,watch strike match
1535,On all my wasted time,wasted
1536,As far as I'm concerned,concerned
1537,You're just another picture to burn!,picture burn
1538,"Burn, burn, burn, baby, burn",burn burn burn baby burn
1539,You're just another picture to burn,picture burn
1540,"Baby, burn...",baby burn
1541,I was ridin' shotgun with my hair undone,ridin shotgun hair undone
1542,In the front seat of his car,front seat car
1543,He's got a one-hand feel on the steering wheel,onehand feel steering wheel
1544,The other on my heart,heart
1545,"I look around, turn the radio down",turn radio
1546,"He says, ""Baby, is something wrong?""",baby wrong
1547,"I say, ""Nothin', I was just thinkin'",thinkin
1548,"How we don't have a song""",song
1549,And he says,
1550,Our song is the slamming screen door,song slamming screen door
1551,"Sneakin' out late, tapping on your window",sneakin tapping window
1552,When we're on the phone and you talk real slow,phone talk slow
1553,'Cause it's late and your mama don't know,mama
1554,Our song is the way you laugh,song laugh
1555,"The first date: ""Man, I didn't kiss her, and I should have""",kiss
1556,And when I got home 'fore I said amen,amen
1557,Asking God if he could play it again,god play
1558,I was walking up the front porch steps,walking front porch steps
1559,After everything that day,day
1560,Had gone all wrong or been trampled on,wrong trampled
1561,And lost and thrown away,lost thrown
1562,"Got to the hallway, well on my way",hallway
1563,To my lovin' bed,lovin
1564,I almost didn't notice all the roses,notice roses
1565,And the note that said,
1566,Our song is the slamming screen door,song slamming screen door
1567,"Sneakin' out late, tapping on your window",sneakin tapping window
1568,When we're on the phone and you talk real slow,phone talk slow
1569,'Cause it's late and your mama don't know,mama
1570,Our song is the way you laugh,song laugh
1571,"The first date: ""Man, I didn't kiss her, and I should have""",kiss
1572,And when I got home 'fore I said amen,amen
1573,Asking God if he could play it again,god play
1574,Da-da-da-da,dadadada
1575,"I've heard every album, listened to the radio",heard album listened radio
1576,Waited for somethin' to come along,waited
1577,That was as good as our song,good song
1578,'Cause our song is the slamming screen door,song slamming screen door
1579,"Sneakin' out late, tappin' on his window",sneakin tappin window
1580,When we're on the phone and he talks real slow,phone talks slow
1581,'Cause it's late and his mama don't know,mama
1582,Our song is the way he laughs,song laughs
1583,"The first date: ""Man, I didn't kiss him, and I should have""",kiss
1584,And when I got home 'fore I said amen,amen
1585,Asking God if he could play it again,god play
1586,"Play it again, oh, yeah",play
1587,"Oh, oh, yeah",
1588,I was ridin' shotgun with my hair undone,ridin shotgun hair undone
1589,In the front seat of his car,front seat car
1590,I grabbed a pen and an old napkin,grabbed napkin
1591,And I wrote down our song,wrote song
1592,"We gather here, we line up, weepin' in a sunlit room",gather weepin sunlit room
1593,"And if I'm on fire, you'll be made of ashes, too",fire ashes
1594,"Even on my worst day, did I deserve, babe",worst day deserve babe
1595,All the hell you gave me?,
1596,"'Cause I loved you, I swear I loved you",loved swear loved
1597,'Til my dying day,dying day
1598,I didn't have it in myself to go with grace,grace
1599,"And you're the hero flying around, saving face",hero flying saving face
1600,"And if I'm dead to you, why are you at the wake?",dead wake
1601,"Cursing my name, wishing I stayed",cursing wishing stayed
1602,Look at how my tears ricochet,tears ricochet
1603,"We gather stones, never knowing what they'll mean",gather stones knowing
1604,"Some to throw, some to make a diamond ring",throw diamond
1605,You know I didn't want to have to haunt you,haunt
1606,But what a ghostly scene,ghostly scene
1607,You wear the same jewels that I gave you,wear jewels
1608,As you bury me,bury
1609,I didn't have it in myself to go with grace,grace
1610,"'Cause when I'd fight, you used to tell me I was brave",fight brave
1611,"And if I'm dead to you, why are you at the wake?",dead wake
1612,"Cursing my name, wishing I stayed",cursing wishing stayed
1613,Look at how my tears ricochet,tears ricochet
1614,And I can go anywhere I want,
1615,"Anywhere I want, just not home",
1616,"And you can aim for my heart, go for blood",aim heart blood
1617,But you would still miss me in your bones,bones
1618,And I still talk to you (When I'm screaming at the sky),talk screaming sky
1619,And when you can't sleep at night (You hear my stolen lullabies),sleep night hear stolen lullabies
1620,I didn't have it in myself to go with grace,grace
1621,And so the battleships will sink beneath the waves,battleships sink beneath waves
1622,"You had to kill me, but it killed you just the same",kill killed
1623,"Cursing my name, wishing I stayed",cursing wishing stayed
1624,You turned into your worst fears,turned worst fears
1625,"And you're tossing out blame, drunk on this pain",tossing blame drunk pain
1626,Crossing out the good years,crossing good years
1627,"And you're cursing my name, wishing I stayed",cursing wishing stayed
1628,Look at how my tears ricochet,tears ricochet
1629,"Salt air, and the rust on your door",salt air rust door
1630,I never needed anything more,needed
1631,"Whispers of ""Are you sure?""",whispers
1632,"""Never have I ever before""",
1633,But I can see us lost in the memory,lost memory
1634,August slipped away into a moment in time,august slipped moment
1635,'Cause it was never mine,mine
1636,And I can see us twisted in bedsheets,twisted bedsheets
1637,August sipped away like a bottle of wine,august sipped bottle wine
1638,'Cause you were never mine,mine
1639,Your back beneath the sun,beneath sun
1640,Wishin' I could write my name on it,wishin write
1641,Will you call when you're back at school?,school
1642,I remember thinkin' I had you,remember thinkin
1643,But I can see us lost in the memory,lost memory
1644,August slipped away into a moment in time,august slipped moment
1645,'Cause it was never mine,mine
1646,And I can see us twisted in bedsheets,twisted bedsheets
1647,August sipped away like a bottle of wine,august sipped bottle wine
1648,'Cause you were never mine,mine
1649,Back when we were still changin' for the better,changin
1650,Wanting was enough,wanting
1651,"For me, it was enough",
1652,To live for the hope of it all,live
1653,Cancel plans just in case you'd call,cancel plans case
1654,"And say, ""Meet me behind the mall""",meet
1655,"So much for summer love and saying ""us""",summer love
1656,'Cause you weren't mine to lose,mine lose
1657,"You weren't mine to lose, no",mine lose
1658,But I can see us lost in the memory,lost memory
1659,August slipped away into a moment in time,august slipped moment
1660,'Cause it was never mine,mine
1661,And I can see us twisted in bedsheets,twisted bedsheets
1662,August sipped away like a bottle of wine,august sipped bottle wine
1663,'Cause you were never mine,mine
1664,'Cause you were never mine,mine
1665,Never mine,mine
1666,But do you remember?,remember
1667,"Remember when I pulled up and said ""Get in the car""",remember pulled car
1668,And then canceled my plans just in case you'd call?,canceled plans case
1669,"Back when I was livin' for the hope of it all, for the hope of it all",livin
1670,"""Meet me behind the mall""",meet
1671,"(Remember when I pulled up and said ""Get in the car"")",remember pulled car
1672,(And then canceled my plans just in case you'd call?),canceled plans case
1673,"(Back when I was livin' for the hope of it all, for the hope of it all)",livin
1674,"(""Meet me behind the mall"")",meet
1675,"Remember when I pulled up and said ""Get in the car""",remember pulled car
1676,And then canceled my plans just in case you'd call?,canceled plans case
1677,Back when I was livin' for the hope of it all (For the hope of it all),livin
1678,"For the hope of it all, for the hope of it all",
1679,"(For the hope of it all, for the hope of it all)",
1680,I've been having a hard time adjusting,adjusting
1681,"I had the shiniest wheels, now they're rusting",shiniest wheels rusting
1682,I didn't know if you'd care if I came back,care
1683,I have a lot of regrets about that,lot regrets
1684,Pulled the car off the road to the lookout,pulled car road lookout
1685,Could've followed my fears all the way down,couldve fears
1686,And maybe I don't quite know what to say,
1687,But I'm here in your doorway,doorway
1688,I just wanted you to know that this is me trying,wanted
1689,I just wanted you to know that this is me trying,wanted
1690,They told me all of my cages were mental,told cages mental
1691,So I got wasted like all my potential,wasted
1692,And my words shoot to kill when I'm mad,shoot kill
1693,I have a lot of regrets about that,lot regrets
1694,"I was so ahead of the curve, the curve became a sphere",ahead curve curve sphere
1695,Fell behind all my classmates and I ended up here,fell classmates ended
1696,Pouring out my heart to a stranger,pouring heart stranger
1697,But I didn't pour the whiskey,pour whiskey
1698,I just wanted you to know that this is me trying,wanted
1699,I just wanted you to know that this is me trying,wanted
1700,[Post-Chorus],postchorus
1701,At least I'm trying,
1702,And it's hard to be at a party when I feel like an open wound,party feel open wound
1703,It's hard to be anywhere these days when all I want is you,days
1704,You're a flashback in a film reel on the one screen in my town,flashback film reel screen town
1705,And I just wanted you to know that this is me trying,wanted
1706,(And maybe I don't quite know what to say),
1707,I just wanted you to know that this is me trying,wanted
1708,At least I'm trying,
1709,"(Yeah, yeah, yeah, yeah)",
1710,Fever dream high in the quiet of the night,fever dream high quiet night
1711,"You know that I caught it (Oh yeah, you're right, I want it)",caught
1712,"Bad, bad boy, shiny toy with a price",bad bad boy shiny toy price
1713,"You know that I bought it (Oh yeah, you're right, I want it)",bought
1714,"Killing me slow, out the window",killing slow window
1715,I'm always waiting for you to be waiting below,waiting waiting
1716,"Devils roll the dice, angels roll their eyes",devils roll dice angels roll eyes
1717,What doesn't kill me makes me want you more,kill
1718,"And it's new, the shape of your body",shape
1719,"It's blue, the feeling I've got",blue feeling
1720,"And it's ooh, whoa oh",
1721,It's a cruel summer,cruel summer
1722,"It's cool, that's what I tell 'em",cool
1723,No rules in breakable heaven,rules breakable heaven
1724,"But ooh, whoa oh",
1725,It's a cruel summer,cruel summer
1726,With you,
1727,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1728,Hang your head low in the glow of the vending machine,head glow vending machine
1729,"I'm not dying (Oh yeah, you're right, I want it)",dying
1730,We say that we'll just screw it up in these trying times,screw
1731,"We're not trying (Oh yeah, you're right, I want it)",
1732,"So cut the headlights, summer's a knife",cut headlights summers knife
1733,I'm always waiting for you just to cut to the bone,waiting cut bone
1734,"Devils roll the dice, angels roll their eyes",devils roll dice angels roll eyes
1735,"And if I bleed, you'll be the last to know",bleed
1736,"Oh, it's new, the shape of your body",shape
1737,"It's blue, the feeling I've got",blue feeling
1738,"And it's ooh, whoa oh",
1739,It's a cruel summer,cruel summer
1740,"It's cool, that's what I tell 'em",cool
1741,No rules in breakable heaven,rules breakable heaven
1742,"But ooh, whoa oh",
1743,It's a cruel summer,cruel summer
1744,With you,
1745,I'm drunk in the back of the car,drunk car
1746,And I cried like a baby coming home from the bar (Oh),cried baby bar
1747,"Said, ""I'm fine,"" but it wasn't true",fine true
1748,I don't wanna keep secrets just to keep you,secrets
1749,And I snuck in through the garden gate,snuck garden gate
1750,Every night that summer just to seal my fate (Oh),night summer seal fate
1751,"And I scream, ""For whatever it's worth",scream worth
1752,"I love you, ain't that the worst thing you ever heard?""",love worst heard
1753,"He looks up, grinning like a devil",grinning devil
1754,"It's new, the shape of your body",shape
1755,"It's blue, the feeling I've got",blue feeling
1756,"And it's ooh, whoa oh",
1757,It's a cruel summer,cruel summer
1758,"It's cool, that's what I tell 'em",cool
1759,No rules in breakable heaven,rules breakable heaven
1760,"But ooh, whoa oh",
1761,It's a cruel summer,cruel summer
1762,With you,
1763,I'm drunk in the back of the car,drunk car
1764,And I cried like a baby coming home from the bar (Oh),cried baby bar
1765,"Said, ""I'm fine,"" but it wasn't true",fine true
1766,I don't wanna keep secrets just to keep you,secrets
1767,And I snuck in through the garden gate,snuck garden gate
1768,Every night that summer just to seal my fate (Oh),night summer seal fate
1769,"And I scream, ""For whatever it's worth",scream worth
1770,"I love you, ain't that the worst thing you ever heard?""",love worst heard
1771,"(Yeah, yeah, yeah, yeah)",
1772,"I would be complex, I would be cool",complex cool
1773,They'd say I played the field before I found someone to commit to,played field commit
1774,And that would be okay for me to do,
1775,Every conquest I had made would make me more of a boss to you,conquest boss
1776,I’d be a fearless leader,fearless leader
1777,I'd be an alpha type,alpha type
1778,When everyone believes ya,believes ya
1779,What's that like?,
1780,I’m so sick of running as fast as I can,sick running fast
1781,Wondering if I'd get there quicker if I was a man,wondering quicker
1782,And I'm so sick of them coming at me again,sick
1783,"'Cause if I was a man, then I'd be the man",
1784,I'd be the man,
1785,I'd be the man,
1786,"They'd say I hustled, put in the work",hustled work
1787,They wouldn’t shake their heads and question how much of this I deserve,shake heads question deserve
1788,"What I was wearing, if I was rude",wearing rude
1789,Could all be separated from my good ideas and power moves,separated good ideas power moves
1790,"And they would toast to me, oh, let the players play",toast players play
1791,I’d be just like Leo in Saint-Tropez,leo sainttropez
1792,I'm so sick of running as fast as I can,sick running fast
1793,Wondering if I’d get there quicker if I was a man,wondering quicker
1794,And I'm so sick of them coming at me again,sick
1795,"'Cause if I was a man, then I'd be the man",
1796,I’d be the man,
1797,I'd be the man,
1798,What's it like to brag about raking in dollars,brag raking dollars
1799,And getting bitches and models?,bitches models
1800,And it's all good if you're bad,good bad
1801,And it's okay if you're mad,
1802,If I was out flashing my dollars,flashing dollars
1803,"I'd be a bitch, not a baller",bitch baller
1804,They'd paint me out to be bad,paint bad
1805,"So, it's okay that I'm mad",
1806,I'm so sick of running as fast as I can,sick running fast
1807,Wondering if I'd get there quicker if I was a man (You know that),wondering quicker
1808,And I'm so sick of them coming at me again (Coming at me again),sick
1809,'Cause if I was a man (If I was a man),
1810,Then I'd be the man (Then I'd be the man),
1811,I'm so sick of running as fast as I can (As fast as I can),sick running fast fast
1812,Wondering if I'd get there quicker if I was a man (Hey),wondering quicker
1813,And I'm so sick of them coming at me again (Coming at me again),sick
1814,"'Cause if I was a man (If I was a man), then I'd be the man",
1815,I'd be the man,
1816,I'd be the man (Oh),
1817,I'd be the man (Yeah),
1818,I'd be the man (I'd be the man),
1819,"If I was a man, then I'd be the man",
1820,I think he knows,
1821,His footprints on the sidewalk,footprints sidewalk
1822,Lead to where I can't stop,lead
1823,Go there every night,night
1824,I think he knows,
1825,His hands around a cold glass,hands cold glass
1826,Make me wanna know that,
1827,Body like it's mine,mine
1828,He got that boyish look that I like in a man,boyish
1829,"I am an architect, I'm drawing up the plans",architect drawing plans
1830,"It's like I'm 17, nobody understands",17 understands
1831,No one understands,understands
1832,He got my heartbeat,heartbeat
1833,Skipping down 16th Avenue,skipping 16th avenue
1834,"Got that, ah, I mean",
1835,Wanna see what's under that attitude like,attitude
1836,"I want you, bless my soul",bless soul
1837,"And I ain't gotta tell him, I think he knows",gotta
1838,I think he knows,
1839,I think he knows,
1840,When we get all alone,
1841,I'll make myself at home,
1842,And he'll want me to stay,stay
1843,I think he knows,
1844,He'd better lock it down,lock
1845,Or I won't stick around,stick
1846,'Cause good ones never wait (Ha),good wait
1847,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1848,He got that boyish look that I like in a man,boyish
1849,"I am an architect, I'm drawing up the plans",architect drawing plans
1850,"He's so obsessed with me and, boy, I understand",obsessed boy understand
1851,"Boy, I understand",boy understand
1852,He got my heartbeat (Heartbeat),heartbeat heartbeat
1853,Skipping down 16th Avenue,skipping 16th avenue
1854,"Got that, ah, I mean (I mean)",
1855,Wanna see what's under that attitude like,attitude
1856,"I want you, bless my soul",bless soul
1857,"And I ain't gotta tell him, I think he knows",gotta
1858,I think he knows,
1859,"I want you, bless my",bless
1860,"I want you, bless my",bless
1861,"I want you, bless my",bless
1862,"I want you, bless my soul",bless soul
1863,"Lyrical smile, indigo eyes, hand on my thigh",lyrical smile indigo eyes thigh
1864,"We could follow the sparks, I'll drive",sparks drive
1865,"Lyrical smile, indigo eyes, hand on my thigh",lyrical smile indigo eyes thigh
1866,"We could follow the sparks, I'll drive",sparks drive
1867,"""So where we gonna go?""",
1868,I whisper in the dark,whisper dark
1869,"""Where we gonna go?""",
1870,I think he knows,
1871,He got my heartbeat (Heartbeat),heartbeat heartbeat
1872,Skipping down 16th Avenue (Baby),skipping 16th avenue baby
1873,"Got that, ah, I mean (I mean)",
1874,Wanna see what's under that attitude like (Yeah),attitude
1875,"I want you, bless my soul",bless soul
1876,"And I ain't gotta tell him, I think he knows",gotta
1877,I think he knows,
1878,"I want you, bless my",bless
1879,"I want you, bless my",bless
1880,"I want you, bless my (Oh, baby)",bless baby
1881,"I want you, bless my soul (He got my heartbeat)",bless soul heartbeat
1882,"I want you, bless my (Skipping down 16th Avenue, baby)",bless skipping 16th avenue baby
1883,"I want you, bless my",bless
1884,"I want you, bless my soul",bless soul
1885,"And I ain't gotta tell him, I think he knows",gotta
1886,The moon is high,moon high
1887,Like your friends were the night that we first met,friends night
1888,Went home and tried to stalk you on the internet,stalk internet
1889,Now I've read all of the books beside your bed,books
1890,The wine is cold,wine cold
1891,Like the shoulder that I gave you in the street,shoulder street
1892,Cat and mouse for a month or two or three,mouse month
1893,Now I wake up in the night and watch you breathe,wake night watch breathe
1894,(Ayy),ayy
1895,Kiss me once 'cause you know I had a long night (Oh),kiss night
1896,Kiss me twice 'cause it's gonna be alright (Uh),kiss alright
1897,"Three times 'cause I waited my whole life (1, 2, 1, 2, 3, 4)",waited life 1 2 1 2 3 4
1898,"I like shiny things, but I'd marry you with paper rings",shiny things marry paper rings
1899,"Uh huh, that's right",
1900,"Darling, you're the one I want, and",darling
1901,I hate accidents except when we went from friends to this,accidents friends
1902,"Uh huh, that's right",
1903,"Darling, you're the one I want",darling
1904,"In paper rings, in picture frames, in dirty dreams",paper rings picture frames dirty dreams
1905,"Oh, you're the one I want",
1906,"In the winter, in the icy outdoor pool",winter icy outdoor pool
1907,"When you jumped in first, I went in too",jumped
1908,I'm with you even if it makes me blue,blue
1909,Which takes me back,takes
1910,To the color that we painted your brother's wall,color painted brothers wall
1911,"Honey, without all the exes, fights, and flaws",honey exes fights flaws
1912,"We wouldn't be standing here so tall, so",standing tall
1913,(Ayy),ayy
1914,Kiss you once 'cause I know you had a long night (Oh),kiss night
1915,Kiss you twice 'cause it's gonna be alright (Uh),kiss alright
1916,"Three times 'cause you waited your whole life (1, 2, 1, 2, 3, 4)",waited life 1 2 1 2 3 4
1917,Ah,
1918,"I like shiny things, but I'd marry you with paper rings",shiny things marry paper rings
1919,"Uh huh, that's right",
1920,"Darling, you're the one I want, and",darling
1921,I hate accidents except when we went from friends to this,accidents friends
1922,"Uh huh, that's right",
1923,"Darling, you're the one I want",darling
1924,"In paper rings, in picture frames, in dirty dreams",paper rings picture frames dirty dreams
1925,"Oh, you're the one I want",
1926,I want to drive away with you,drive
1927,I want your complications too,complications
1928,I want your dreary Mondays,dreary mondays
1929,"Wrap your arms around me, baby boy",wrap arms baby boy
1930,I want to drive away with you,drive
1931,I want your complications too,complications
1932,I want your dreary Mondays,dreary mondays
1933,"Wrap your arms around me, baby boy",wrap arms baby boy
1934,Uh huh,
1935,"I like shiny things, but I'd marry you with paper rings",shiny things marry paper rings
1936,"Ah-ah, that's right, you're the one I want",ahah
1937,I hate accidents except when we went from friends to this,accidents friends
1938,"Ah-ah, darling, you're the one I want",ahah darling
1939,"I like shiny things, but I'd marry you with paper rings",shiny things marry paper rings
1940,"Uh huh, that's right",
1941,"Darling, you're the one I want, and",darling
1942,I hate accidents except when we went from friends to this,accidents friends
1943,"Uh huh, that's right",
1944,"Darling, you're the one I want",darling
1945,"In paper rings, in picture frames, in all my dreams",paper rings picture frames dreams
1946,You're the one I want,
1947,"In paper rings, in picture frames, in all my dreams",paper rings picture frames dreams
1948,"Oh, you're the one I want",
1949,"You're the one I want, one I want",
1950,"You're the one I want, one I want",
1951,We were in the backseat,backseat
1952,Drunk on something stronger than the drinks in the bar,drunk stronger drinks bar
1953,"""I rent a place on Cornelia Street""",cornelia street
1954,I say casually in the car,casually car
1955,We were a fresh page on the desk,fresh desk
1956,Filling in the blanks as we go,filling blanks
1957,As if the street lights pointed in an arrow head,street lights pointed arrow head
1958,Leading us home,leading
1959,"And I hope I never lose you, hope it never ends",lose
1960,I'd never walk Cornelia Street again,walk cornelia street
1961,That's the kinda heartbreak time could never mend,kinda heartbreak mend
1962,I'd never walk Cornelia Street again,walk cornelia street
1963,"And baby, I get mystified by how this city screams your name",baby mystified city screams
1964,"And baby, I'm so terrified of if you ever walk away",baby terrified walk
1965,I'd never walk Cornelia Street again,walk cornelia street
1966,I'd never walk Cornelia Street again,walk cornelia street
1967,"Windows flung right open, autumn air",windows flung open autumn air
1968,Jacket 'round my shoulders is yours,jacket shoulders
1969,We bless the rains on Cornelia Street,bless rains cornelia street
1970,Memorize the creaks in the floor,memorize creaks floor
1971,"Back when we were card sharks, playing games",card sharks playing games
1972,I thought you were leading me on,thought leading
1973,"I packed my bags, left Cornelia Street",packed bags left cornelia street
1974,Before you even knew I was gone,knew
1975,"But then you called, showed your hand",called
1976,I turned around before I hit the tunnel,turned tunnel
1977,"Sat on the roof, you and I",sat roof
1978,"I hope I never lose you, hope it never ends",lose
