,lyric,clean_lyric
318,When I wake up in the morning,wake morning
319,"That's when, when it's sunny or storming",sunny storming
320,"Laughing, when I'm crying",laughing crying
321,"And that's when, I'll be waiting at the front gate",waiting front gate
322,"That's when, when I see your face",face
323,"I'll let you in, and baby, that's when",baby
324,"Mm, mm",
325,"I said, ""I know""",
326,"When you said, ""I did you wrong",wrong
327,Made mistakes,mistakes
328,"And put you through all of this"" (through all of this)",
329,Then through the phone,phone
330,Came all your tears,tears
331,"And I said, ""Leave those all in our past""",leave
332,"And you said, ""When can I-I-I come back?""",
333,"And I said, that's when",
334,When I wake up in the morning,wake morning
335,"That's when, when it's sunny or storming",sunny storming
336,"Laughing, when I'm crying",laughing crying
337,And that's when I'll be waiting at the front gate,waiting front gate
338,"That's when, when I see your face",face
339,"I'll let you in, and baby, that's when""",baby
340,"And you said, ""Honestly",honestly
341,When you were gone,
342,"Did you ever think of me?""",
343,And I said,
344,"""That's when, when I woke up in the morning",woke morning
345,"That's when, it was sunny or storming",sunny storming
346,Laughing when I was crying,laughing crying
347,"And that's when, you were waiting at the front gate",waiting front gate
348,"That's when, when I saw your face",face
349,"You let me in, and baby, that's when""",baby
350,"That's when, when I wake up in the morning (Yeah)",wake morning
351,"That's when, when it's sunny or storming",sunny storming
352,"When I'm laughing, when I'm crying",laughing crying
353,That's when I'll be waiting at the front gate,waiting front gate
354,"(That when I miss you, that's when I want you)",
355,"That's when, when I see your face",face
356,"That's when I love you, that's when",love
357,It wasn't just like a movie,movie
358,"The rain didn't soak through my clothes, down to my skin",rain soak clothes
359,"I'm drivin' away and I, I guess you could say",drivin guess
360,This is the last time I'll drive this way again,drive
361,Lost in the gray and I try to grab at the fray,lost gray grab fray
362,"'Cause I, I still love you but I can't",love
363,Bye bye to everything I thought was on my side,bye bye thought
364,Bye bye baby,bye bye baby
365,I want you bad but it's come down to nothing,bad
366,And all I have is your sympathy,sympathy
367,'Cause you took me home but you just couldn't keep me,
368,Bye bye baby,bye bye baby
369,Bye bye baby,bye bye baby
370,The picture frame is empty,picture frame empty
371,"On the dresser, vacant just like me",dresser vacant
372,I see your writing on the dash,writing dash
373,Then back to your hesitation,hesitation
374,I was so sure of everything,
375,Everything I thought we'd always have,thought
376,Guess I never doubted it,guess doubted
377,Then the here and the now floods in,floods
378,Feels like I'm becoming a part of your past,feels
379,Bye bye to everything I thought was on my side,bye bye thought
380,Bye bye baby,bye bye baby
381,I want you bad but it's come down to nothing,bad
382,And all I have is your sympathy,sympathy
383,'Cause you took me home but you just couldn't keep me,
384,Bye bye baby,bye bye baby
385,And there's so much that I can't touch,touch
386,You're all I want but it's not enough this time,
387,And all the pages are just slipping through my hands,slipping hands
388,And I'm so scared of how this ends,scared
389,Bye bye to everything I thought was on my side,bye bye thought
390,Bye bye baby,bye bye baby
391,I want you bad but it's come down to nothing,bad
392,And all I have is your sympathy,sympathy
393,'Cause you took me home but you just couldn't keep me,
394,Bye bye to everything I thought was on my side,bye bye thought
395,Bye bye baby,bye bye baby
396,I want you bad but it's come down to nothing,bad
397,And all I have is your sympathy,sympathy
398,'Cause you took me home but you just couldn't keep me,
399,"Oh, you took me home, I thought you were gonna keep me",thought
